('Doliprane', 'Antalgique et antipyrétique', 'Comprimé', '500 mg', '123456', 'Sanofi Maroc', '2023-12-31', 'DP202301', 1000, 10.5, 'À conserver à température ambiante', 'Ne pas dépasser la dose recommandée', 'Peut interagir avec certains médicaments', 'Contre-indiqué en cas de problèmes hépatiques graves', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 1 comprimé toutes les 6 heures si nécessaire'),
('Augmentin', 'Antibiotique à large spectre', 'Comprimé', '875 mg', '987654', 'GlaxoSmithKline Maroc', '2023-10-15', 'AUG202301', 800, 30.0, 'Conserver à une température inférieure à 25°C', 'Terminez le traitement complet comme prescrit', 'Peut interagir avec les contraceptifs oraux', 'Contre-indiqué chez les patients allergiques à la pénicilline', 'Consultez un médecin avant utilisation pendant la grossesse', 'Prendre 1 comprimé deux fois par jour'),
('Lasilix', 'Diurétique', 'Comprimé', '40 mg', '456789', 'Sanofi Maroc', '2024-06-30', 'LX202301', 600, 15.0, 'Conserver dans un endroit sec et à l\'abri de la lumière', 'Évitez de consommer du sel supplémentaire', 'Peut interagir avec certains médicaments antihypertenseurs', 'Contre-indiqué en cas d\'insuffisance rénale sévère', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 1 comprimé par jour le matin'),
('Voltarène', 'Anti-inflammatoire non stéroïdien (AINS)', 'Gélule', '50 mg', '234567', 'Novartis Maroc', '2023-08-31', 'VT202301', 500, 25.0, 'Conserver à température ambiante', 'Ne pas utiliser sur une peau lésée ou infectée', 'Peut interagir avec les anticoagulants', 'Contre-indiqué en cas d\'ulcère gastrique', 'Consultez un médecin avant utilisation pendant la grossesse', 'Prendre 1 gélule deux fois par jour après les repas'),
('Zyrtec', 'Antihistaminique', 'Comprimé', '10 mg', '345678', 'UCB Maroc', '2023-09-30', 'ZY202301', 700, 18.0, 'Conserver dans un endroit sec', 'Peut causer de la somnolence', 'Peut interagir avec l\'alcool', 'Contre-indiqué en cas de maladie hépatique sévère', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 1 comprimé par jour le soir'),
('Symbicort', 'Bronchodilatateur', 'Aérosol', '160/4.5 mcg', '456789', 'AstraZeneca Maroc', '2024-05-31', 'SB202301', 400, 80.0, 'Conserver dans un endroit frais et sec', 'Utiliser régulièrement selon les besoins', 'Peut interagir avec les bêta-bloquants', 'Contre-indiqué en cas de réaction allergique à la substance active', 'Consultez un médecin avant utilisation pendant la grossesse', 'Utilisation selon les directives du médecin'),
('Dafalgan', 'Antalgique et antipyrétique', 'Comprimé', '500 mg', '567890', 'Bristol-Myers Squibb Maroc', '2023-12-31', 'DA202301', 900, 12.0, 'Conserver à température ambiante', 'Ne pas dépasser la dose recommandée', 'Peut interagir avec certains médicaments', 'Contre-indiqué en cas de problèmes hépatiques graves', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 1 comprimé toutes les 4 heures si nécessaire'),
('Célestène', 'Corticoïde', 'Comprimé', '0.5 mg', '678901', 'Sanofi Maroc', '2024-02-28', 'CE202301', 300, 7.5, 'Conserver à une température inférieure à 30°C', 'Prenez avec de la nourriture pour réduire les effets secondaires', 'Peut interagir avec les immunosuppresseurs', 'Contre-indiqué en cas d\'infection non contrôlée', 'Consultez un médecin avant utilisation pendant la grossesse', 'Prendre 1 comprimé une fois par jour le matin'),
('Spasfon', 'Antispasmodique', 'Comprimé', '80 mg', '789012', 'Pierre Fabre Maroc', '2023-11-30', 'SF202301', 600, 9.0, 'Conserver à une température inférieure à 25°C', 'Ne pas dépasser la dose recommandée', 'Peut interagir avec certains médicaments sédatifs', 'Contre-indiqué en cas de glaucome à angle fermé', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 2 comprimés trois fois par jour'),
('Seroplex', 'Antidépresseur', 'Comprimé', '20 mg', '890123', 'Lundbeck Maroc', '2024-04-30', 'SL202301', 500, 22.0, 'Conserver dans un endroit sec', 'Ne pas interrompre brusquement le traitement', 'Peut interagir avec les médicaments psychoactifs', 'Contre-indiqué en cas de troubles cardiaques graves', 'Consultez un médecin avant utilisation pendant la grossesse', 'Prendre 1 comprimé par jour le matin'),
('Duspatalin', 'Antispasmodique', 'Gélule', '200 mg', '901234', 'Abbott Maroc', '2023-12-31', 'DS202301', 700, 14.0, 'Conserver à une température inférieure à 30°C', 'Prendre avant les repas', 'Peut interagir avec certains médicaments anticholinergiques', 'Contre-indiqué en cas de colite ulcéreuse', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 1 gélule deux fois par jour'),
